710,23,3
710,10,3
710,28,3
710,32,3
710,287,2
710,1526,3
710,729,3
710,5332,3
710,1484,3
710,8432,2
710,3247,2
710,3246,1
710,2259,3
710,130,2
710,264,3
710,4996,3
710,8636,1
710,611,4
706,2107,5
706,2524,3
706,6889,3
706,6242,4
706,1845,3
706,883,4
706,2561,3
706,3837,3
706,3753,5
706,8640,5
706,11,3
706,10,5
706,115,3
706,36,4
706,378,3
706,662,4
706,94,4
706,895,3
706,2284,4
706,45,3
706,653,2
706,658,3
284,547,4
714,11,3
714,779,5
714,5448,3
714,35,2
714,287,1
714,255,5
714,903,3
714,189,4
714,693,5
714,1677,4
714,989,3
714,7146,5
714,1085,5
714,2789,4
77,669,4
497,1154,4
497,1683,4
715,516,4
715,3428,5
715,8,5
715,4,5
715,5,4
715,2,3
715,24,3
715,13,5
715,18,3
715,26,4
715,65,5
715,14,5
715,10,3
715,55,5
715,32,4
715,58,5
715,60,5
715,28,4
715,45,4
715,23,3
715,94,4
715,483,2
715,405,4
715,7,4
715,323,3
715,122,3
670,937,5
670,505,4
670,3286,4
670,3614,5
670,3918,4
670,4289,4
670,4542,4
606,46,5
218,5,4
716,180,5
716,8,4
716,4,5
716,5,3
716,26,3
716,65,5
716,14,4
716,10,4
716,55,3
716,33,4
716,32,4
716,11,4
716,38,3
716,28,4
716,35,4
716,100,4
716,92,3
446,5095,3
446,4337,4
446,6181,5
446,48,3
446,1074,4
446,7,4
446,78,4
446,1430,3
446,1913,3
446,1713,3
446,1711,4
446,116,4
446,860,4
446,577,4
446,5748,3
446,5158,3
446,1966,3
446,1930,4
446,4121,3
446,3034,3
446,46,5
446,1202,5
446,271,4
446,136,4
446,1145,3
446,1806,4
242,7769,4
446,847,3
639,18,4
639,24,3
639,948,5
639,80,5
639,23,4
639,2,4
639,344,5
639,28,3
639,58,4
639,2192,4
714,33,1
714,26,5
669,4813,3
669,6293,3
669,111,3
689,3340,3
689,1633,4
689,3477,2
698,1315,2
698,2584,4
650,2939,5
650,515,5
650,4544,4
650,323,4
717,395,3
717,442,5
710,191,3
717,121,4
717,13,5
718,32,4
718,495,3
718,959,4
718,36,4
718,225,4
718,65,4
718,55,4
718,100,2
718,287,5
718,7,5
718,323,3
717,323,4
718,1657,4
718,546,3
718,5911,5
718,7462,4
718,6844,5
718,2337,5
718,8840,3
718,8212,5
718,2344,5
718,614,4
718,371,4
718,162,5
718,736,5
718,189,5
718,462,5
718,3595,5
718,255,3
718,26,1
718,1073,4
718,961,3
718,2846,4
718,590,5
718,3262,3
718,8,5
718,483,5
718,709,5
718,63,3
718,2499,4
718,2952,3
718,3077,5
718,10,4
718,171,4
718,531,5
718,5,3
718,1055,5
718,3022,5
718,2544,5
718,984,3
718,530,4
718,353,4
718,154,4
718,29,4
718,125,5
718,714,5
718,770,4
718,3700,3
718,248,4
718,8896,3
718,6417,4
718,58,3
718,2286,1
718,1280,4
718,977,4
718,5940,3
718,718,4
718,1084,4
718,701,4
718,4,4
718,2,4
718,24,4
718,21,3
718,27,4
718,23,3
718,18,5
718,6230,4
718,2487,4
718,97,4
718,172,5
699,4316,3
699,1503,3
699,1364,3
699,485,3
699,405,3
699,2975,5
699,2172,4
699,1704,3
699,1074,3
699,3600,3
699,83,5
699,718,4
699,887,3
699,2314,3
699,8232,4
699,1444,3
699,5865,4
699,171,2
699,76,3
699,471,2
699,58,4
699,116,4
699,130,4
699,264,3
699,401,4
699,395,5
699,1031,4
699,1184,3
699,2304,3
699,255,3
699,903,2
718,301,4
699,2027,5
699,3625,4
699,8891,3
699,662,4
699,378,4
699,3954,4
699,2010,3
699,1582,5
332,2914,3
699,1642,4
699,763,4
332,1873,3
332,9036,3
332,741,3
699,8175,3
699,4336,5
699,3124,4
412,54,5
587,27,5
702,66,3
702,148,3
702,489,2
702,378,4
702,14,2
684,270,5
68,5244,2
68,8214,2
68,3275,4
122,2302,1
122,2027,2
122,606,4
122,162,4
122,35,3
721,3650,5
724,3156,4
724,8355,4
721,2747,4
724,9204,4
22,3092,3
349,6895,3
218,272,4
718,1255,3
699,2559,3
699,3703,3
699,4103,4
699,5556,1
699,4475,3
699,1458,4
699,4394,4
218,1518,5
684,383,4
105,633,3
105,371,3
105,9927,5
725,915,2
725,1139,1
725,1423,2
123,272,4
726,538,4
218,7715,4
123,8987,3
123,3357,2
123,189,5
606,45,5
606,3406,3
628,5758,5
628,3896,3
726,181,5
726,7668,4
726,36,4
726,1238,4
629,1020,4
629,594,5
726,1106,2
726,599,3
726,54,4
726,751,3
726,1332,3
726,1014,3
726,13,4
726,3123,4
718,576,4
718,456,3
726,3106,4
726,362,4
726,11,4
726,45,3
726,264,5
725,118,4
725,2136,2
725,911,2
725,6566,3
725,1564,2
725,660,3
725,476,5
725,325,5
725,704,5
725,2089,4
725,4392,3
725,4130,3
725,1936,4
726,95,3
725,730,4
725,1161,5
725,3079,4
725,119,5
725,883,5
725,2561,2
725,1845,5
725,860,3
725,64,3
725,908,3
725,331,3
725,328,3
725,487,3
725,575,1
726,284,3
725,640,1
725,2594,3
725,1296,2
725,1592,1
725,693,3
725,162,5
725,872,5
725,354,5
725,2508,5
725,171,5
725,76,5
725,230,5
725,471,5
725,451,4
725,372,4
725,943,4
725,1923,4
725,344,4
725,297,4
725,2172,5
